Calendar Year,Property Name,Primary Property Type - Self Selected,Site Energy Use (kBtu),Data Center - IT Source Energy (kBtu),Electricity Use - Grid Purchase (kBtu),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Data Center - Gross Floor Area (ft²),Largest Property Use Type - Gross Floor Area (ft²),Site EUI (kBtu/ft²)
2024,Robinson 1601 Realty Corp,Multifamily Housing,7894209.7,Not Available,1325772.7,501.46,Not Available,129966,60.7
2024,3405 Kings Hwy,Multifamily Housing,3768971.5,Not Available,403563.5,225.2,Not Available,55800,67.5
2024,M Rapaport: 2710 Webb Ave,Multifamily Housing,5317206,Not Available,861200.3,335.79,Not Available,88655,60
2024,M Rapaport: 2857 Sedgwick Avenue,Multifamily Housing,6891510.4,Not Available,1022989.2,429.44,Not Available,118384,58.2
2024,M Rapaport: 150 West 22nd Street,Office,3930663.8,Not Available,1961921.3,371.69,Not Available,79745,49.3
2024,M Rapaport: 18 East 48th Street,Office,9540559.1,Not Available,4462333.2,849.87,Not Available,114874,83.1
2024,608 Fifth Avenue (606 5 AVENUE),Office,9017339,Not Available,4902038.8,837.41,Not Available,137058,65.1
2024,159 Eastern Pkwy,Multifamily Housing,3928765.2,Not Available,666929.6,250.01,Not Available,57850,67.9
2024,110 New York Ave,Multifamily Housing,5577161.6,Not Available,841647.3,348.39,Not Available,91000,61.3
2024,362 Lincoln Pl,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,56900,Not Available
2024,919 Park Pl,Multifamily Housing,6227445.5,Not Available,937773.2,388.88,Not Available,116310,53.5
2024,277 Washington Ave,Multifamily Housing,Not Available,Not Available,550449.9,Not Available,Not Available,56788,Not Available
2024,97 Brooklyn Ave,Multifamily Housing,5912663.6,Not Available,906604.6,370.23,Not Available,91540,64.6
2024,436 Eastern Pkwy,Multifamily Housing,5206108.8,Not Available,797226.8,325.93,Not Available,71500,72.8
2024,Halstead - 161 West 61st St,Multifamily Housing,24597777.8,Not Available,6937001.4,1736.41,Not Available,297104,82.3
2024,Amber Hall,Multifamily Housing,1455713.4,Not Available,1455713.4,167.53,Not Available,40550,27.1
2024,Cedars,Multifamily Housing,5936791.3,Not Available,3489156.3,531.56,Not Available,82447,66.1
2024,Clover Hall,Multifamily Housing,4301484,Not Available,1767871.1,338.03,Not Available,31560,111
2024,Jasper Hall,Multifamily Housing,3638705.1,Not Available,1513512.2,287.06,Not Available,55039,66.1
2024,Schafer Hall,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,66900,Not Available
2024,Silverleaf Hall,Multifamily Housing,9826153.9,Not Available,2688959.2,688.55,Not Available,122650,80.1
2024,Bronx Print Center (NY Post),Manufacturing/Industrial Plant,Not Available,Not Available,Not Available,Not Available,Not Available,390000,Not Available
2024,ADK: 84-10 101st Street,Multifamily Housing,5380895.1,Not Available,1277894.8,365,Not Available,111521,48.3
2024,114 Fifth Avenue,Office,16075583.8,Not Available,11330678.4,1587.34,Not Available,337055,45.7
2024,East Midtown Plaza - Building A - 400 2nd Avenue,Multifamily Housing,81799625,Not Available,16893794.3,5391.7,Not Available,274935,297.5
2024,Orsid - 370 Riverside Dr,Multifamily Housing,8002552.3,Not Available,1232954,640.63,Not Available,132705,60.3
2024,Orsid - 460 East 79th St,Multifamily Housing,10441985.1,Not Available,2481000,708.38,Not Available,142313,69.1
2024,Orsid - 61 West 9th St,Multifamily Housing,4185631.8,Not Available,852005.7,275.12,Not Available,69259,60.4
2024,Orsid - 189 Schermerhorn St,Multifamily Housing,18620373,Not Available,6144629.9,1369.81,Not Available,230829,75.8
2024,Orsid - 200 West 54th St,Multifamily Housing,12357819.1,Not Available,3525576.9,874.87,Not Available,134167,84.1
2024,327 Saint Nicholas Avenue,Multifamily Housing,5088351.9,Not Available,1430748.2,358.93,Not Available,80237,58.9
2024,"545 Prospect Ass.,LLC (555 Prospect Place)",Multifamily Housing,34238150,Not Available,4495399.6,2097.14,Not Available,172800,198.1
2024,92-16 34th Avenue,Multifamily Housing,5263704.6,Not Available,903999.4,356.84,Not Available,57723,91.2
2024,100 Jay Street Condominiums,Multifamily Housing,23661709.2,Not Available,12204532.7,2013.13,Not Available,335354,68.5
2024,224 West 35th Street,Office,8111244.8,Not Available,2688168.9,597.42,Not Available,146746,51.9
2024,690 Fort Washington Avenue,Multifamily Housing,9245113.6,Not Available,1483257.4,749.82,Not Available,90445,102.2
2024,140 West 22nd Street,Multifamily Housing,3929895.7,Not Available,2510297.7,364.31,Not Available,58800,58.5
2024,309-311 West 57th Street,Multifamily Housing,6446803.5,Not Available,1860377,434.25,Not Available,68792,85.3
2024,575 RIVERHOUSE CORP.,Multifamily Housing,2867096.1,Not Available,554618.3,186.66,Not Available,50388,56.9
2024,Eastchester Rehabilitation Health Care Center,Senior Living Community,9184996.6,Not Available,3286115.8,691.51,Not Available,59714,153.8
2024,Walton Apartments LLC,Multifamily Housing,3564501.8,Not Available,999645.9,251.28,Not Available,59459,59.9
2024,132 Claremont Avenue,Multifamily Housing,16593633.2,Not Available,7246843,1330.47,Not Available,201785,74.8
2024,3 West 36th Street,Multifamily Housing,4813258,Not Available,2534321.1,412.71,Not Available,77677,62
2024,M488 (OECID: 0101702; BBL: 1013300013),K-12 School,22040922.2,Not Available,15772222.6,2148.14,Not Available,304477,72.4
2024,Maxwell: 121 West 72nd St.,Multifamily Housing,1100352.7,Not Available,1044939.7,123.2,Not Available,71074,14.7
2024,Jennie Realty - Combined,Office,9237423.1,Not Available,2896657.9,670.16,Not Available,150570,61.3
2024,1450 Broadway,Office,16679017.3,Not Available,12050002,1686.97,Not Available,343512,47
2024,Union Plaza Care center,Senior Living Community,16029232.2,Not Available,7044198.6,1287.93,Not Available,167073,95.9
2024,1173 Nelson Avenue,Multifamily Housing,2099622.9,Not Available,941859.9,169.89,Not Available,53385,39.3
2024,200 Dyckman Street,Multifamily Housing,12411189.9,Not Available,2058668.6,958.56,Not Available,67152,166.3
2024,3101 Avenue I,Multifamily Housing,Not Available,Not Available,853161.4,Not Available,Not Available,83450,Not Available
2024,"F & G Group, LLC",Multifamily Housing,4599612.4,Not Available,739444.8,290.13,Not Available,55650,82.7
2024,3115 Avenue I,Multifamily Housing,Not Available,Not Available,854155.8,Not Available,Not Available,84600,Not Available
2024,1415 Richmond Avenue,Senior Living Community,6332120.5,Not Available,5065863.5,650.27,Not Available,109000,58.1
2024,Bank Street College Of Education - 610 W 112th St,K-12 School,6944309.7,Not Available,3336612.5,575.62,Not Available,212000,32.8
2024,1720 University Ave - 38873,Multifamily Housing,5498510.1,Not Available,1083961,359.23,Not Available,72600,75.7
2024,Borinquen Court,Multifamily Housing,10099696.6,Not Available,2394770.7,684.85,Not Available,132022,73.3
2024,Halstead - 101 West 87th St,Multifamily Housing,8189664.7,Not Available,3165471.6,631.16,Not Available,122099,61.8
2024,APF - 28 West 44th Street,Office,22852408.8,Not Available,9172973.7,1951.65,Not Available,248980,73
2024,69-95 Queens Midtown Expressway,Residential Care Facility,5696256.8,Not Available,3324597.7,509.12,Not Available,66223,86
2024,2830 Pitkin Avenue,Senior Living Community,5063195,Not Available,2830097,444.32,Not Available,50840,99.6
2024,N001583-NW STATEN ISLAND NY,Wholesale Club/Supercenter,6164723.1,Not Available,4106324.4,581.92,Not Available,144376,42.7
2024,1520 Thieriot Avenue,Multifamily Housing,3891934.5,Not Available,714336.7,311.77,Not Available,63000,61.8
